;Latitude;Longitude;cluster
943;49.99;7.37;-1
944;52.098;7.59;-1
945;45.802;13.53;-1
946;51.574;7.706;-1
947;47.988;7.854;10
948;48.102;11.62;12
949;48.122;11.578;12
950;50.86;4.378;34
951;53.126;8.76;50
952;51.282;17.998;-1
953;50.124;8.65;5
954;50.846;4.394;34
955;50.7;18.156;-1
956;50.932;4.442;-1
957;56.934;24.072;-1
958;51.642;7.668;-1
959;42.692;23.324;79
960;50.822;15.79;-1
961;48.086;11.632;12
962;50.058;9.078;-1
963;50.822;4.324;-1
964;51.612;7.21;-1
965;54.456;9.752;49
966;42.672;23.31;78
967;57.39;-2.468;90
968;53.204;6.502;38
969;54.172115;18.54342;76
970;48.41;11.468;12
971;48.26;10.988;11
972;42.738;23.272;-1
973;51.128;14.178;55
974;50.792;4.352;-1
975;51.374;6.594;18
976;51.698;-0.292;85
977;56.964;-2.212;90
978;44.444;26.099;-1
979;53.046;10.512;-1
980;50.802;4.35;-1
981;51.492;5.468;-1
982;48.118;9.992;7
983;48.489;9.211;-1
984;51.818;19.422;-1
985;49.234;8.696;-1
986;48.86;9.624;-1
987;51.22;3.202;37
988;43.722;7.256;-1
989;57.11;-2.24;90
990;50.842;4.386;34
991;46.924;7.114;-1
992;50.434;30.432;92
993;50.86;4.334;-1
994;52.044;8.716;41
995;48.19;16.358;60
996;48.511;9.06;-1
997;57.164;-2.12;90
998;53.816;8.902;-1
999;50.152;8.2;6
1000;50.562;8.504;-1
1001;51.33;19.378;-1
1002;50.818;4.382;34
1003;53.368;14.658;-1
1004;52.052;20.43;72
1005;52.39;13.028;-1
1006;47.03;15.396;59
1007;42.078;24.588;80
1008;51.31;12.368;53
1009;50.724;7.07;-1
1010;49.024;8.246;2
1011;45.494;12.142;65
1012;57.51;-1.84;90
1013;50.79;0.298;84
1014;57.158;-2.106;90
1015;50.058;18.43;69
1016;51.094;7.03;-1
1017;47.046;15.39;59
1018;53.694;9.91;-1
1019;55.828;37.488;93
1020;50.858;4.384;34
1021;52.366;20.78;72
1022;48.778;9.208;0
1023;50.834;6.752;-1
1024;48.771;9.157;0
1025;42.726;23.268;-1
1026;41.942;24.22;80
1027;42.646;23.4;-1
1028;43.344;26.226;-1
1029;42.416;25.014;80
1030;55.61;12.1;-1
1031;52.222;21.246;72
1032;51.134;16.8;-1
1033;49.486;11.104;44
1034;47.738;9.118;8
1035;48.018;11.478;12
1036;52.144;5.674;-1
