;cluster;Latitude;Longitude
571;21;51.722;8.772
572;25;49.452;11.062
573;-1;55.82;13.03
574;-1;50.83;6.524
575;-1;44.504;11.308
576;11;52.102;5.138
577;8;51.532;6.77
578;-1;51.632;4.95
579;29;52.536;13.432
580;17;50.878;4.382
581;31;47.064;15.422
582;0;48.89;9.134
583;-1;50.15;-5.616
584;-1;52.268;6.77
585;34;50.148;19.76
586;-1;53.068;18.234
587;22;52.35;9.79
588;-1;43.206;23.55
589;31;46.925;15.48
590;-1;42.832;23.196
591;41;42.496;25.036
592;-1;50.922;3.99
593;0;48.773;9.282
594;-1;45.922;6.716
595;37;52.228;21.026
596;-1;42.714;23.18
597;-1;51.61;6.928
598;24;48.608;11.436
599;35;51.886;17.078
600;25;49.462;11.094
601;39;45.108;5.674
602;39;45.084;5.732
603;3;50.0;8.646
604;22;52.238;10.716
605;3;50.226;8.682
606;-1;51.384;10.316
607;3;50.144;8.428
608;35;51.132;16.848
609;25;49.452;11.05
610;-1;50.444;30.54
611;-1;49.038;10.608
612;34;50.302;18.736
613;37;51.946;20.14
614;29;52.83;13.788
615;3;49.878;8.65
616;23;54.316;10.148
617;-1;46.686;7.852
618;34;49.35;19.386
619;29;52.286;14.042
620;-1;51.20945;4.431688
621;24;48.072;11.682
622;23;53.576;9.96
623;-1;47.261;11.399
624;17;50.822;4.336
625;39;45.194;5.684
626;17;50.69;4.4
627;23;53.59;10.054
628;43;50.932;0.246
629;-1;49.806;7.124
630;21;51.992;9.228
631;-1;48.886;9.394
632;-1;54.352;9.074
633;24;48.088;11.472
634;-1;52.156;11.618
635;24;48.102;11.636
636;24;48.112;11.638
637;23;53.614;9.882
638;-1;45.572;10.002
639;29;52.544;13.374
640;-1;49.102;-0.37
641;-1;51.424;11.764
642;28;51.048;13.784
643;12;52.164;5.518
644;41;42.232;24.726
645;-1;50.754;11.508
646;14;51.906;4.454
647;-1;49.836;7.078
648;-1;44.794;-0.676
649;-1;48.928;8.568
650;25;49.902;10.876
651;1;48.89;8.24
652;23;53.59;9.96
653;24;47.894;11.424
654;0;48.738;9.32
655;-1;42.59;12.63
656;16;50.878;4.686
657;-1;50.834;15.782
658;0;48.706;9.258
659;7;50.992;6.798
660;-1;59.656;9.666
661;17;50.836;4.348
662;-1;51.196;6.408
663;-1;48.878;13.316
664;7;50.968;6.828
665;-1;50.892;3.992
666;-1;51.328;7.322
667;24;48.116;11.67
668;-1;51.172;4.158
669;16;50.934;4.668
670;22;52.3904;9.736771
671;18;51.076;3.782
672;21;52.188;8.6
673;29;52.41;13.438
674;-1;49.55;25.564
675;-1;48.714;9.584
676;-1;46.706;12.34
677;18;51.034;3.744
678;-1;47.872;12.972
679;-1;46.802;11.952
680;21;51.776;8.806
681;-1;48.306;9.83
682;-1;48.94;8.962
683;-1;49.596;6.142
684;-1;45.462;10.974
685;21;51.982;9.226
686;39;45.712;4.8
687;-1;54.182;7.89
688;29;52.482;13.356
689;-1;56.984;24.164
690;17;50.874;4.378
691;-1;50.089;9.068
692;-1;48.174;9.782
693;-1;48.174;9.782
694;-1;48.17;8.596
695;29;52.51;13.456
696;30;45.486;9.19
697;-1;44.512;11.352
698;1;49.004;8.37
699;21;52.242;8.168
700;-1;51.332;9.458
701;21;52.014;8.54
702;-1;50.36;7.582
703;-1;48.256;10.084
704;18;51.102;3.856
705;45;48.632;-1.986
706;45;48.638;-2.014
707;45;48.638;-1.992
708;-1;51.056;7.262
709;-1;49.548;11.926
710;-1;50.936;6.552
711;45;48.648;-1.998
712;21;51.828;8.656
713;-1;53.076;18.208
714;23;53.552;9.91
715;-1;51.258;6.806
716;-1;49.718;11.902
717;3;49.864;8.64
718;45;48.666;-1.972
719;45;48.644;-1.984
720;6;48.274;7.794
721;-1;51.222;4.406
722;34;50.56;17.852
723;28;51.03;13.812
724;-1;47.82;10.534
725;25;49.905;10.94
726;3;50.238;8.406
727;24;47.49;11.116
728;-1;48.556;9.342
729;34;50.94;20.564
730;34;50.028;19.938
731;21;52.017;8.539
732;34;50.852;20.628
733;34;50.854;20.58
734;34;50.848;20.542
735;34;50.84;20.478
736;2;49.558;8.674
737;6;47.904;8.11
738;-1;48.16;9.202
739;37;52.222;20.916
740;23;53.614;9.894
741;-1;43.338;25.502
742;17;50.87;4.316
743;43;51.698;-0.292
744;0;48.762;9.168
745;35;51.164;16.924
746;31;47.102;15.452
747;-1;50.786;7.84
748;0;48.788;9.208
749;6;47.982;7.796
750;1;48.988;8.45
751;-1;48.654;9.25
752;27;51.336;12.34
753;24;48.586;12.066
754;-1;48.596;9.238
755;24;47.944;11.776
756;24;47.942;11.804
757;-1;50.264;6.798
758;-1;49.872;6.188
759;18;51.092;3.458
760;0;48.817;9.249
761;39;45.946;6.14
762;-1;51.664;7.116
763;22;52.386;9.718
764;-1;52.482;9.108
765;34;49.852;19.7
766;24;48.02;11.478
767;17;50.862;4.328
768;-1;51.82;19.426
769;-1;48.066;8.54
770;27;51.338;12.524
771;-1;41.564;23.296
772;-1;48.396;9.99
773;31;47.06;15.387
774;-1;42.712;23.376
775;-1;42.664;23.264
776;40;42.706;23.344
777;-1;43.788;23.71
778;-1;47.864;13.054
779;-1;49.988;8.182
780;-1;51.123;7.397
781;35;52.386;16.94
782;-1;50.23;7.764
783;-1;51.27;7.224
784;27;50.658;12.704
785;-1;46.038;14.612
786;-1;51.554;7.812
787;-1;48.644;9.006
788;29;52.394;13.268
789;16;51.0;4.662
790;24;48.131;11.502
791;18;51.078;3.776
792;35;51.07;17.038
793;3;49.882;8.662
794;3;49.846;8.646
795;35;51.096;17.19
796;7;50.802;6.984
797;-1;42.018;23.986
798;-1;40.104;18.328
799;-1;51.226;22.574
800;-1;54.192;15.67
801;0;48.778;9.126
802;-1;44.65;10.938
803;-1;51.284;7.226
804;-1;42.664;23.373
805;-1;56.96;24.13
806;3;49.93;8.606
807;41;43.03;25.108
808;-1;51.79633;18.197147
809;17;50.902;4.354
810;24;48.067;11.14
811;24;47.998;11.338
812;-1;48.558;9.234
813;-1;49.99;8.028
814;44;53.404;-1.51
